seed,model,test_auroc,test_auprc
42,entropy_H,0.8657372255967605,0.960572940611065
42,h_T_probe,0.9762045103367434,0.9936428635911194
42,h_proj32_probe,0.8901554507672633,0.9688584089707006
42,z_combined,0.938041147165388,0.9827954685030987
42,h512_plus_z,0.9763094096334185,0.99368184658132
42,h32_plus_z,0.9522458439897696,0.9873004417846354
123,entropy_H,0.7410147977034118,0.8916879432845943
123,h_T_probe,0.8780812535429525,0.9549366679798728
123,h_proj32_probe,0.8280592237553857,0.9348444153351845
123,z_combined,0.852335912396937,0.9435936087369563
123,h512_plus_z,0.8805834530902783,0.9557457763956764
123,h32_plus_z,0.8849894106036711,0.957521700394899
456,entropy_H,0.7012192872117401,0.8165373191704748
456,h_T_probe,0.8834426275331937,0.9281635242354462
456,h_proj32_probe,0.831129000698812,0.9020799697456174
456,z_combined,0.8685361285814117,0.9087980688546655
456,h512_plus_z,0.8835242487770791,0.9282640246436897
456,h32_plus_z,0.8739812718378757,0.915249150820705
