seed,model,test_auroc,test_auprc
42,entropy_H,0.8825782227784731,0.9518418344970435
42,h_T_probe,0.9206800166875262,0.9630391872980167
42,h_proj32_probe,0.8707815324711444,0.9420088237525157
42,z_combined,0.8918342372409956,0.9490214215714872
42,h512_plus_z,0.9209678765123069,0.9634702850687524
42,h32_plus_z,0.9025782227784731,0.9548480986646143
123,entropy_H,0.8704621638713266,0.9525513966519112
123,h_T_probe,0.957533301353662,0.9848299805955424
123,h_proj32_probe,0.8866695189076205,0.9563596946371307
123,z_combined,0.9089688572741507,0.9611644433227475
123,h512_plus_z,0.9577969175630339,0.9847921401905159
123,h32_plus_z,0.9296807362815133,0.9721742465951828
456,entropy_H,0.7197761237720178,0.8724405485100962
456,h_T_probe,0.8904622325955358,0.9537432185506749
456,h_proj32_probe,0.7194794955759467,0.8509808573779747
456,z_combined,0.8344736605870897,0.9138765201737216
456,h512_plus_z,0.8905402926471335,0.953790856892545
456,h32_plus_z,0.8320902270116399,0.9155297891030084
