seed,levels,max_level,auroc,auprc
42,z1..z1,1,0.7426842155175917,0.5680687618681248
42,z1..z2,2,0.7645717330732166,0.6232338032425058
42,z1..z3,3,0.7647399509571485,0.6258292620258294
42,z1..z4,4,0.764773820329752,0.6271536807729613
123,z1..z1,1,0.7208734685398688,0.5483595607754405
123,z1..z2,2,0.7500587069125131,0.6098266437270342
123,z1..z3,3,0.7500304824353434,0.6098030332337517
123,z1..z4,4,0.7500767705779019,0.6097990963841337
456,z1..z1,1,0.7208441150836121,0.5441619476822692
456,z1..z2,2,0.7445154195963674,0.5803417718953412
456,z1..z3,3,0.7439531880111453,0.5804018385821996
456,z1..z4,4,0.7444025216876882,0.581458252452844
