seed,level,auroc,auprc,n_features
42,1,0.7426842155175917,0.5680687618681248,7
42,2,0.7492401970745892,0.5677229175598008,7
42,3,0.7330833773635177,0.5349378915750835,7
42,4,0.7442851078626619,0.563719265958375,7
123,1,0.7208734685398688,0.5483595607754405,7
123,2,0.6905095760006141,0.5062878022813662,7
123,3,0.6708901774303532,0.46863211778475244,7
123,4,0.6730679780887739,0.48135531712608837,7
456,1,0.7208441150836121,0.5441619476822692,7
456,2,0.7119974349595148,0.5442921015626998,7
456,3,0.6901291100483655,0.5228986461346758,7
456,4,0.692864626375661,0.5203590694243366,7
