seed,epoch,split,n,accuracy,mean_loss,mean_confidence,mean_predictive_entropy,epoch_time_s,train_loss
42,0,test,10000,0.8596,0.4654939116079052,0.8144126484537692,0.5360759417579648,2.137405999994371,
42,0,val,6000,0.8603333333333333,0.4759086322995172,0.8079337250673584,0.55307702321351,2.137407699949108,1.034134975339793
42,1,test,10000,0.8815,0.3771175165637942,0.8744766335864087,0.37066661656302097,0.4453870000434108,
42,1,val,6000,0.8798333333333334,0.4028356971132234,0.8714527000405687,0.3827534845396006,0.44538779999129474,0.4005296537770501
42,2,test,10000,0.911,0.3061616863916286,0.8956751063756837,0.3213850891279927,0.4286217000335455,
42,2,val,6000,0.9056666666666666,0.32653518566509343,0.8919461320078,0.3338651433230318,0.42862240003887564,0.31021784566625765
42,3,test,10000,0.9151,0.2813145000618776,0.9105413876176777,0.27228989084358624,0.4380772999720648,
42,3,val,6000,0.9121666666666667,0.30097046940207034,0.9073752187621275,0.28266411171962275,0.43807779997587204,0.24523006653106666
42,4,test,10000,0.9253,0.24586905055188077,0.9234323887307373,0.23477437926239944,0.4293741000001319,
42,4,val,6000,0.9191666666666667,0.2690615067525782,0.9185951103064484,0.24696923954735428,0.4293752000085078,0.20445969964884506
123,0,test,10000,0.8513,0.49111970465725197,0.8141713101568981,0.5300005940889436,0.4275099999504164,
123,0,val,6000,0.8513333333333334,0.5054389849228373,0.809539811955232,0.546864782407106,0.427510799956508,1.027051996581162
123,1,test,10000,0.8881,0.36965610013649064,0.8743189936509281,0.375990362549315,0.45278849999886006,
123,1,val,6000,0.8866666666666667,0.37898332206528734,0.8672087910506064,0.39423549375729,0.4527892000041902,0.4097186308118361
123,2,test,10000,0.9021,0.31721825572551376,0.8930855237821202,0.31582448619842624,0.4324680999852717,
123,2,val,6000,0.8965,0.348332620284626,0.8892152511322313,0.32860733512825013,0.43246899999212474,0.3210468326188341
123,3,test,10000,0.9205,0.264999549930684,0.9105136483170932,0.27500564603649025,0.41915810003411025,
123,3,val,6000,0.9148333333333334,0.29487814435523807,0.9055821969862355,0.28807009068665207,0.41915870003867894,0.2628000097561486
123,4,test,10000,0.9219,0.2643866626620694,0.9212329936795264,0.2432958348473455,0.4189341000164859,
123,4,val,6000,0.917,0.2814920987329767,0.9158605364422905,0.2568605625452226,0.41893500002333894,0.22180004691398597
456,0,test,10000,0.8649,0.44036642406359316,0.836538028454383,0.46622429002102317,0.3897125000366941,
456,0,val,6000,0.8681666666666666,0.4450471688485397,0.832291435427882,0.48039305351332756,0.3897133000427857,1.0118724594387827
456,1,test,10000,0.8931,0.35446635743147836,0.8740426540146946,0.3721193464465273,0.4215719999629073,
456,1,val,6000,0.8873333333333333,0.3813235141528311,0.8697530855411895,0.3862675702599033,0.421572599967476,0.38065743559523474
456,2,test,10000,0.9076,0.31508804890391645,0.885941155193775,0.3469236177778869,0.4253506999812089,
456,2,val,6000,0.9,0.34409581639347225,0.8807154893652739,0.3613938669965927,0.4253512999857776,0.3077218973938423
456,3,test,10000,0.9136,0.2800246423207317,0.9094508328575428,0.2736007540406673,0.4266325000207871,
456,3,val,6000,0.9148333333333334,0.305058417174364,0.9059448174804171,0.28319140730480874,0.42663340002764016,0.251705338400376
456,4,test,10000,0.931,0.23909405332920114,0.9253645819511573,0.2331776411700555,0.42459189996588975,
456,4,val,6000,0.9231666666666667,0.2681920838114316,0.9197941673856026,0.24690093952457695,0.42459269997198135,0.2046631789660152
